product_name,category,total_profit,profit_margin,revenue,units_sold
Hand Dress,Clothing,50066.88,26.65,187847.22,118
Meeting Cookware,Home & Kitchen,49735.91,29.53,168419.24,107
Science Headphones,Electronics,49691.4,11.95,415905.15,125
Executive Fitness,Sports,49672.36,21.7,228881.92,138
Leave Mobile,Electronics,48540.75,9.04,536922.61,122
Night Education,Books,48509.42,20.42,237506.48,118
With Education,Books,48334.5,23.62,204601.04,94
Small Outdoor,Sports,48050.27,17.43,275659.1,111
Owner Skincare,Beauty,47774.68,16.11,296492.38,90
Drive Outdoor,Sports,47335.18,16.5,286930.91,121
Key Headphones,Electronics,47273.28,28.24,167426.34,111
Once Furniture,Home & Kitchen,47050.51,17.85,263607.19,114
Play Cookware,Home & Kitchen,46838.68,11.48,407947.75,153
Address Jeans,Clothing,46404.01,27.82,166811.32,129
Structure Dress,Clothing,45891.95,23.3,196953.95,120
Imagine Fitness,Sports,45730.57,18.31,249749.04,259
Away Makeup,Beauty,45704.97,27.7,165021.12,123
Drive Shirt,Clothing,45614.06,12.18,374490.68,122
Skill Jeans,Clothing,45392.72,21.91,207202.55,117
Beautiful Fiction,Books,45268.53,10.46,432570.93,128
Million Cookware,Home & Kitchen,45205.5,29.76,151907.22,114
Republican Laptop,Electronics,44864.45,12.81,350219.71,98
Election Fiction,Books,44676.03,29.29,152551.16,121
Traditional Fitness,Sports,44635.72,31.61,141187.84,137
For Dress,Clothing,44620.72,13.49,330690.43,123
Weight Cookware,Home & Kitchen,44115.28,10.86,406280.04,116
Conference Jeans,Clothing,44064.22,24.43,180334.75,99
Hour Skincare,Beauty,43698.95,26.53,164685.95,108
Position Mobile,Electronics,43687.02,17.56,248838.56,122
What Shirt,Clothing,43048.07,13.76,312889.16,123
Day Laptop,Electronics,42824.44,28.92,148071.9,103
Position Outdoor,Sports,42291.53,19.6,215739.6,107
Candidate Dress,Clothing,42177.84,13.99,301385.29,109
Benefit Outdoor,Sports,42167.88,25.84,163199.4,114
Mouth Dress,Clothing,42166.2,21.33,197665.68,108
Analysis Headphones,Electronics,42117.77,24.61,171118.34,137
Surface Skincare,Beauty,41960.34,13.14,319214.09,125
Prepare Education,Books,41870.81,33.59,124641.05,113
Discussion Furniture,Home & Kitchen,41654.4,15.12,275465.94,109
These Fiction,Books,41437.32,21.43,193396.74,129
Soon Makeup,Beauty,41399.89,25.14,164697.49,136
Herself Shirt,Clothing,41342.91,13.45,307271.87,88
Hospital Mobile,Electronics,41070.23,22.08,186033.98,129
Prevent Outdoor,Sports,40936.94,33.84,120978.52,146
Score Education,Books,40554.12,19.16,211659.57,95
Development Education,Books,40370.14,11.85,340572.44,101
Let Furniture,Home & Kitchen,40353.54,27.75,145437.15,127
Think Outdoor,Sports,40230.54,15.67,256763.64,105
Unit Jeans,Clothing,39909.9,18.51,215605.51,127
Task Education,Books,39727.68,17.69,224584.38,105
Apply Education,Books,39314.71,13.16,298697.69,122
Face Fiction,Books,39165.2,14.72,266101.0,140
Instead Fitness,Sports,38938.58,12.51,311256.24,142
Street Skincare,Beauty,38780.27,29.94,129538.0,119
Wind Headphones,Electronics,38725.74,25.34,152832.14,152
Free Outdoor,Sports,38232.56,9.17,416746.64,112
My Furniture,Home & Kitchen,38104.39,20.16,189026.19,116
Any Mobile,Electronics,37861.66,12.09,313206.76,90
General Headphones,Electronics,37517.41,9.19,408129.91,150
Wife Jeans,Clothing,37423.78,33.61,111359.18,140
Else Jeans,Clothing,37382.43,11.75,318253.93,130
Over Dress,Clothing,37337.39,15.75,237059.99,140
Ball Fitness,Sports,37270.89,10.46,356428.07,134
Type Skincare,Beauty,37270.31,16.17,230529.95,114
Especially Jeans,Clothing,36833.0,22.65,162623.14,119
Our Skincare,Beauty,36786.55,7.47,492426.87,128
Parent Makeup,Beauty,36611.12,15.24,240255.12,98
Attack Skincare,Beauty,36559.62,16.56,220760.91,147
Significant Headphones,Electronics,36369.14,24.68,147347.7,112
Two Education,Books,36277.51,27.27,133048.39,96
Especially Makeup,Beauty,36187.59,14.02,258141.03,152
Tell Shirt,Clothing,36116.42,16.69,216445.1,126
I Makeup,Beauty,36019.15,30.89,116603.71,126
Similar Furniture,Home & Kitchen,35467.35,15.99,221847.54,109
Field Fiction,Books,35210.24,27.0,130418.21,143
Whatever Jeans,Clothing,34835.58,18.29,190481.74,106
Control Furniture,Home & Kitchen,34635.7,29.1,119041.46,128
Woman Fitness,Sports,34596.85,18.09,191276.38,129
Throw Laptop,Electronics,34534.43,18.84,183296.32,101
Firm Furniture,Home & Kitchen,34341.15,20.04,171400.95,145
Just Skincare,Beauty,34232.22,27.29,125438.58,102
Do Education,Books,33923.77,21.37,158757.52,125
Either Skincare,Beauty,33571.26,21.76,154309.5,112
Stop Headphones,Electronics,33219.24,22.49,147723.84,105
Establish Jeans,Clothing,32851.66,13.56,242305.2,139
Particular Skincare,Beauty,32592.65,13.34,244307.65,161
Seek Furniture,Home & Kitchen,32221.03,31.92,100941.99,112
Close Fiction,Books,32102.09,9.62,333722.69,122
Result Fiction,Books,31837.43,29.7,107186.01,131
Hard Cookware,Home & Kitchen,31734.48,18.95,167464.36,122
Five Fitness,Sports,31483.63,14.94,210724.12,117
Science Laptop,Electronics,31389.4,25.15,124789.0,105
For Fitness,Sports,31382.18,18.37,170825.12,126
Player Outdoor,Sports,30982.85,21.23,145972.54,107
Open Outdoor,Sports,30814.89,30.61,100678.29,111
Total Education,Books,30692.62,9.14,335898.46,108
Movie Makeup,Beauty,30607.69,13.85,220923.0,101
Rich Makeup,Beauty,30466.6,31.26,97446.46,107
View Shirt,Clothing,30352.83,12.88,235637.34,111
Purpose Outdoor,Sports,30180.9,25.27,119411.58,154
Thought Shirt,Clothing,30156.6,25.07,120300.96,114
Heart Mobile,Electronics,29215.63,32.7,89340.75,116
Course Headphones,Electronics,28904.25,25.16,114878.88,129
Church Dress,Clothing,28748.31,8.89,323423.81,118
Work Laptop,Electronics,28643.83,29.21,98064.73,138
Public Furniture,Home & Kitchen,28204.83,17.61,160149.95,152
Bit Fiction,Books,28074.61,19.28,145625.68,117
Nice Fitness,Sports,27972.64,23.8,117540.64,120
Guy Shirt,Clothing,27916.97,26.87,103899.77,115
All Fiction,Books,27849.6,28.17,98860.68,101
Media Makeup,Beauty,27719.78,24.81,111707.6,240
Whatever Laptop,Electronics,27693.77,33.15,83546.31,134
Involve Laptop,Electronics,27465.98,8.66,317098.18,110
Health Shirt,Clothing,26902.79,26.29,102323.23,83
Officer Fitness,Sports,26791.03,8.44,317545.34,107
Environment Fiction,Books,26461.31,16.7,158464.91,120
View Dress,Clothing,25911.67,17.75,146010.91,108
Down Fitness,Sports,25853.03,17.78,145441.7,137
Size Education,Books,25630.34,29.87,85797.04,110
Grow Fitness,Sports,25625.94,29.13,87966.06,138
Stand Dress,Clothing,25586.61,26.98,94838.52,91
Little Fitness,Sports,25480.56,9.91,257004.96,116
Take Jeans,Clothing,25464.42,20.57,123787.14,114
Rather Cookware,Home & Kitchen,25296.02,7.23,349637.02,100
Skin Shirt,Clothing,25223.09,12.84,196403.83,107
Black Headphones,Electronics,25159.95,11.15,225663.36,141
Range Furniture,Home & Kitchen,25129.85,23.27,107997.47,103
Learn Headphones,Electronics,24895.83,21.58,115347.87,84
Mother Mobile,Electronics,24667.79,9.14,269971.29,130
Rule Furniture,Home & Kitchen,24473.34,19.87,123152.85,93
There Outdoor,Sports,24321.24,7.94,306500.5,121
Help Education,Books,24167.34,28.67,84291.03,121
Stop Shirt,Clothing,24148.23,14.1,171304.26,111
Begin Outdoor,Sports,23857.52,8.58,277913.2,128
Pressure Education,Books,23820.13,10.48,227238.31,133
Create Makeup,Beauty,23654.46,16.99,139246.71,115
Lead Jeans,Clothing,23529.86,16.39,143571.86,114
Answer Makeup,Beauty,23462.88,21.23,110517.84,136
Certainly Skincare,Beauty,23422.2,10.55,222000.06,138
Lot Cookware,Home & Kitchen,23295.79,23.79,97918.14,115
Next Fitness,Sports,23216.35,12.11,191779.03,114
Yourself Education,Books,22808.67,28.32,80532.57,114
Result Makeup,Beauty,22595.58,19.94,113329.98,96
Candidate Furniture,Home & Kitchen,22511.83,16.57,135825.97,113
Green Shirt,Clothing,21351.44,21.52,99195.57,131
Last Cookware,Home & Kitchen,21250.97,6.87,309547.29,104
Seven Dress,Clothing,21084.43,15.63,134885.44,131
Similar Outdoor,Sports,20626.01,14.35,143733.66,95
Into Dress,Clothing,19943.78,18.89,105604.78,100
Information Outdoor,Sports,19932.65,30.82,64676.17,116
Relate Furniture,Home & Kitchen,19483.74,26.73,72899.26,106
Mention Mobile,Electronics,19077.57,10.78,176970.39,87
Study Laptop,Electronics,19069.21,11.54,165263.99,127
Provide Mobile,Electronics,18941.31,29.23,64802.16,115
Well Skincare,Beauty,18880.44,12.12,155775.42,122
Receive Dress,Clothing,18781.17,12.59,149154.42,95
Hundred Fitness,Sports,18574.39,25.38,73186.48,117
Yeah Furniture,Home & Kitchen,18351.17,26.68,68795.28,109
Focus Laptop,Electronics,18314.0,29.56,61949.0,150
Present Makeup,Beauty,17856.46,13.0,137369.5,152
Charge Skincare,Beauty,17713.35,9.33,189810.15,120
Body Cookware,Home & Kitchen,17565.61,25.28,69481.86,125
Successful Skincare,Beauty,17314.17,24.83,69716.83,122
Worry Fiction,Books,17285.46,15.62,110692.62,154
Light Cookware,Home & Kitchen,17231.81,25.78,66848.09,126
To Shirt,Clothing,17230.96,14.11,122085.46,135
Great Furniture,Home & Kitchen,17146.02,11.39,150471.94,112
Scene Furniture,Home & Kitchen,17013.98,16.93,100478.62,98
Little Jeans,Clothing,16718.43,28.05,59609.46,117
Its Fitness,Sports,16652.33,21.6,77110.08,145
Imagine Headphones,Electronics,16574.03,14.02,118256.65,106
Need Fitness,Sports,16481.23,19.95,82615.63,120
Point Outdoor,Sports,16222.01,32.65,49678.25,108
Growth Laptop,Electronics,16196.15,33.32,48614.15,90
By Education,Books,16023.43,31.7,50545.03,145
Half Makeup,Beauty,15616.83,13.69,114041.67,116
Throw Education,Books,15341.99,14.8,103633.16,101
National Jeans,Clothing,14833.69,15.22,97441.87,138
Strong Cookware,Home & Kitchen,14619.4,9.86,148221.7,117
Economic Laptop,Electronics,14579.9,16.86,86500.78,136
Walk Dress,Clothing,14457.44,9.68,149422.46,103
Cover Skincare,Beauty,14363.86,25.41,56523.91,95
Test Fitness,Sports,14335.16,10.85,132088.88,103
Fire Makeup,Beauty,14218.96,12.25,116101.42,111
Determine Education,Books,13895.85,30.73,45216.57,123
Picture Laptop,Electronics,13772.55,13.44,102481.59,108
Thousand Education,Books,13627.4,33.42,40775.19,101
Tell Headphones,Electronics,13534.79,14.78,91552.19,89
Remain Skincare,Beauty,13286.86,20.46,64949.38,117
Wind Fiction,Books,13193.18,9.55,138080.84,118
Others Shirt,Clothing,13147.92,9.92,132605.0,94
Against Mobile,Electronics,13065.56,28.29,46177.73,117
Here Makeup,Beauty,12410.34,28.21,43990.14,103
Within Education,Books,12222.99,29.33,41677.71,116
Mother Dress,Clothing,12094.18,14.09,85839.11,113
Discussion Cookware,Home & Kitchen,11892.27,31.9,37278.75,126
Policy Headphones,Electronics,11741.24,11.49,102143.24,76
Bank Skincare,Beauty,11648.33,24.28,47967.69,112
End Mobile,Electronics,11482.9,17.96,63935.3,140
Remain Fitness,Sports,11270.77,26.39,42706.06,81
Out Skincare,Beauty,11215.56,18.67,60076.04,107
Out Fiction,Books,10965.84,10.63,103193.94,155
Occur Cookware,Home & Kitchen,10884.01,8.87,122648.47,114
Commercial Outdoor,Sports,10822.89,14.03,77137.74,137
Ask Outdoor,Sports,10792.58,13.47,80136.72,106
Lead Skincare,Beauty,10759.06,23.42,45949.06,120
Around Skincare,Beauty,10750.04,26.42,40693.14,110
Listen Dress,Clothing,10676.19,13.54,78851.71,112
Institution Skincare,Beauty,10578.29,13.09,80834.59,103
Or Makeup,Beauty,10415.62,17.73,58739.5,99
Television Headphones,Electronics,10148.2,24.5,41416.36,126
Evening Furniture,Home & Kitchen,9990.57,11.61,86016.26,97
Line Furniture,Home & Kitchen,9866.79,27.92,35337.63,123
Community Laptop,Electronics,9455.82,31.24,30264.92,130
Low Furniture,Home & Kitchen,9266.15,10.15,91289.63,132
Season Furniture,Home & Kitchen,8865.09,10.21,86854.81,122
Him Makeup,Beauty,8404.83,8.23,102075.6,129
Great Cookware,Home & Kitchen,7664.45,13.4,57206.73,106
Cause Fitness,Sports,7646.42,12.26,62393.1,148
Thus Furniture,Home & Kitchen,7265.39,10.01,72608.87,111
Arrive Furniture,Home & Kitchen,6914.05,25.71,26887.34,127
Sure Furniture,Home & Kitchen,6896.1,24.19,28502.28,123
Still Outdoor,Sports,6860.24,27.77,24701.24,95
Bad Fiction,Books,6510.84,27.28,23868.84,120
Improve Makeup,Beauty,6242.45,9.32,66998.87,129
Up Fiction,Books,5809.05,21.75,26709.07,106
They Fitness,Sports,5516.7,10.36,53236.86,124
You Education,Books,5035.68,12.02,41888.88,145
Shake Education,Books,4825.38,12.82,37643.0,121
Interesting Fitness,Sports,4656.37,16.14,28854.95,127
Between Mobile,Electronics,4333.62,12.06,35941.21,119
Right Shirt,Clothing,4305.21,14.73,29217.61,122
Them Skincare,Beauty,4064.18,28.49,14263.74,73
I Shirt,Clothing,3899.29,8.28,47082.13,123
Bit Jeans,Clothing,3302.74,14.6,22628.8,117
Rise Laptop,Electronics,3182.25,9.61,33120.2,115
Wonder Headphones,Electronics,3082.64,14.33,21507.53,111
Must Makeup,Beauty,2442.22,8.18,29839.42,136
Take Outdoor,Sports,2193.76,10.1,21711.51,95
